30075445, Morris Park Bake Shop, 1007, -73.856077, 40.848447, Morris Park Ave, 10462, Bronx, Bakery
30112340, Wendy'S, 469, -73.961704, 40.662942, Flatbush Avenue, 11225, Brooklyn, Hamburgers
30191841, Dj Reynolds Pub And Restaurant, 351, -73.98513559999999, 40.7676919, West   57 Street, 10019, Manhattan, Irish
40356018, Riviera Caterer, 2780, -73.98241999999999, 40.579505, Stillwell Avenue, 11224, Brooklyn, American
40356068, Tov Kosher Kitchen, 97-22, -73.8601152, 40.7311739, 63 Road, 11374, Queens, Jewish/Kosher
40356151, Brunos On The Boulevard, 8825, -73.8803827, 40.7643124, Astoria Boulevard, 11369, Queens, American
40356442, Kosher Island, 2206, -74.1377286, 40.6119572, Victory Boulevard, 10314, Staten, Jewish/Kosher
40356483, Wilken'S Fine Food, 7114, -73.9068506, 40.6199034, Avenue U, 11234, Brooklyn, Delicatessen
40356649, Regina Caterers, 6409, -74.00528899999999, 40.628886, 11 Avenue, 11219, Brooklyn, American
40356731, Taste The Tropics Ice Cream, 1839, -73.9482609, 40.6408271, Nostrand Avenue, 11226, Brooklyn, Ice
40357217, Wild Asia, 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, American
40357437, C & C Catering Service, 7715, -73.9973325, 40.61174889999999, 18 Avenue, 11214, Brooklyn, American
40358429, May May Kitchen, 1269, -73.871194, 40.6730975, Sutter Avenue, 11208, Brooklyn, Chinese
40359480, 1 East 66Th Street Kitchen, 1, -73.96926909999999, 40.7685235, East   66 Street, 10065, Manhattan, American
40360045, Seuda Foods, 705, -73.9653967, 40.6064339, Kings Highway, 11223, Brooklyn, Jewish/Kosher
40360076, Carvel Ice Cream, 203, -73.97822040000001, 40.6435254, Church Avenue, 11218, Brooklyn, Ice
40361322, Carvel Ice Cream, 265-15, -73.7032601, 40.7386417, Hillside Avenue, 11004, Queens, Ice
40361390, Nordic Delicacies, 6909, -74.0259567, 40.6353674, 3 Avenue, 11209, Brooklyn, Delicatessen
40361521, Glorious Food, 522, -73.95171, 40.767461, East   74 Street, 10021, Manhattan, American
40361606, The Movable Feast, 284, -73.9829239, 40.6580753, Prospect Park West, 11215, Brooklyn, American
40361618, Sal'S Deli, 129-08, -73.839297, 40.78147, 20 Avenue, 11356, Queens, Delicatessen
40361708, Bully'S Deli, 759, -73.9925306, 40.7309346, Broadway, 10003, Manhattan, Delicatessen
40361998, Steve Chu'S Deli & Grocery, 3406, -73.94024739999999, 40.7623288, 10 Street, 11106, Queens, Delicatessen
40362098, Harriet'S Kitchen, 502, -73.976112, 40.786714, Amsterdam Avenue, 10024, Manhattan, Chicken
40362264, P & S Deli Grocery, 730, -73.96805719999999, 40.7925587, Columbus Avenue, 10025, Manhattan, American
40362274, Angelika Film Center, 18, -73.996984, 40.72589, West Houston Street, 10012, Manhattan, American
40362344, White Castle, 531, -73.9634876, 40.6940001, Myrtle Avenue, 11205, Brooklyn, Hamburgers
40362432, Ho Mei Restaurant, 103-05, -73.8642349, 40.75356, 37 Avenue, 11368, Queens, Chinese
40362715, The Country Cafe, 60, -74.0085357, 40.70620539999999, Wall Street, 10005, Manhattan, Turkish
40362869, Shashemene Int'L Restaura, 195, -73.9246028, 40.6522396, East   56 Street, 11203, Brooklyn, Caribbean
40363021, Downtown Deli, 107, -74.00920839999999, 40.7132925, Church Street, 10007, Manhattan, American
